address,description,id,neighborhood,price,title,toWork,url
No Address,"Room for rent Gas included / not electricity $600 a month...  Cuarto en renta $600 al mes... Gas incluido, la electricidad No  show contact info  show contact info  Lu.",5266793356,east NY newport st,600,room for rent/ cuarto en renta,,https://newyork.craigslist.org/brk/roo/5266793356.html
No Address,Sunny private room to rent in an building apartment 2 Blocks away from the D train station b82 bus b6 and b1 bus b64 2 blocks from best buy toys r us etc Ceasers bay area block away from laundrymat stores call me show contact info . wont last long -,5255005116,bath beach,600,Sunny room for rent 600 a month bath beach area,,https://newyork.craigslist.org/brk/roo/5255005116.html
No Address,"I have a room available in an amazing duplex apartment in Crown Heights. You would be signing a new lease with a group of roommates for the year. Here are some details: - New Renovation  - Hardwood Floors - New Appliances - DISHWASHER! - Huge Bedrooms - Quiet, Family-Friendly Neighborhood - Tree-Lined Street - Large Space in the Basement  Available NOW  ADDRESS: 1329 Pacific Street, Brooklyn, NY 11216  FINANCIAL: Credit Check (680+) and Proof-of-Income (36x Monthly Rent) Required.  Guarantors Welcome!  CONTACT: Me! Text John at show contact info -- Mention ""1329 Pacific""",5266789024,Crown Heights,800,Huge Room Available in Duplex,,https://newyork.craigslist.org/brk/roo/5266789024.html
No Address,"If you're looking to get a room of your own look no further.  I have 2 spots available, just 2 blocks from the subway and only 25 minutes from Manhattan, in an luxury building that is BRAND new.  It is nestled on cute section of Bushwick ave. walk from the very convenient L TRAIN (3 min walk) and J train (2 min walk). You also have easy access to the M TRAIN which stops in the Union Square and continues into midtown  This Brand New Apartment Building was gut renovated last year, and is laid out with the following features....  +Stainless steel kitchen +24/7 Gym +2 BATHROOMS +easy access to roof space + A real common area (game room W/T.V) + young professional building   The rooms are great for a full size bed and another small piece of furniture + closet.  We are looking for a friendly roommate who generally keeps pretty busy. We accept young professionals, responsible students, and creatives. You should be laid back, neat, and respectful of space. The MGMT requires PROOF of income & GOOD CREDIT to move but they also accept GUARANTORS.  All people for October 15th & November 1st are welcome!  Send us a message to set up a viewing  NO FEE - 1 yr lease    R E A L P H O T O S (718)/7/1/7-91.8.9",5255885582,Bushwick,775,"FINALLY - A room W windows, cantral A/C heat, gym +pool table! WHOA",,https://newyork.craigslist.org/brk/roo/5255885582.html
No Address,"If you're looking to get a room of your own look no further.  I have 2 spots available, just 2 blocks from the subway and only 25 minutes from Manhattan, in an luxury building that is BRAND new.  It is nestled on cute section of Bushwick ave. walk from the very convenient L TRAIN (3 min walk) and J train (2 min walk). You also have easy access to the M TRAIN which stops in the Union Square and continues into midtown  This Brand New Apartment Building was gut renovated last year, and is laid out with the following features....  +Stainless steel kitchen +24/7 Gym +2 BATHROOMS +easy access to roof space + A real common area (game room W/T.V) + young professional building   The rooms are great for a full size bed and another small piece of furniture + closet.  We are looking for a friendly roommate who generally keeps pretty busy. We accept young professionals, responsible students, and creatives. You should be laid back, neat, and respectful of space. The MGMT requires PROOF of income & GOOD CREDIT to move but they also accept GUARANTORS.  All people for October 15th & November 1st are welcome!  Send us a message to set up a viewing  NO FEE - 1 yr lease    R E A L P H O T O S (718)/7/1/7-91.8.9",5250618969,Bushwick,775,Large room GYM - ROOF - Cool roommates!!!,,https://newyork.craigslist.org/brk/roo/5250618969.html
No Address,room open ASAP in beautiful private house in Bensonhurst  House comes with a packed kitchen and 2 bathrooms.We have hardwood floors no carpet. Beautiful safe and clean area by the ocean with parks and stores all over   こんにちは  N train line to Kings Highway 2 min walk away    $700 huge room with Bay windows overlooking the street  You can share this room with your old roomie or friend    We are a few Students/Interns looking for a new roomie to come join us. Your roomates are:   Shizuka- Asian female in early 20's here on an internship  Rick- American actor in his 20's and works fulltime in the city  Sammy- Indian premed student   We are looking for a long term situation with another FEMALE only please.  We do not party and keep the place very quite and clean at all times   Please non smokers and no pets   Please text ASAP show contact info and open by telling me a little about yourself.Thanks have a nice day,5255408566,Bensonhurst,700,こんにちは Students / Interns Ok. room open NOW,,https://newyork.craigslist.org/brk/roo/5255408566.html
MONROE STREET at THROOP AVE,LOOING FOR YOUNG PERFESSIONAL OR STUDENT ROOMMATE (20-30 YEARS) GREAT SIZE LARGE ROOM IN 4 BEDROOM NEWLY RENOVATED SUPER LOCATION VERY CONVENIENT NEIGHBORHOOD * NEW FULL KITCHEN AND BATHROOM NICE HARD WOOD FLOOR GREAT HIGH CEILINGS' HOT WATER INCLUDED HUGE BALCONY  * SHOWING NOW MUST HAVE GOOD CREDIT AND INCOME MUST BE WILLING TO SIGN 1 YEAR LEASE * NO COUPLE OR ROOMSHARING FOR MORE DETAILS CALL OR TEXT OLLIE@ show contact info,5266744440,BEDSTUY,750,WOW***LARGE NEWLY RENO ROOM****GREAT SIZE & LOCATION* HUGE BALCONY!!!,,https://newyork.craigslist.org/brk/roo/5266744440.html
No Address,"There's a room available in an amazing duplex apartment in Crown Heights. You would be signing a new lease with a group of roommates for the year. Here are some details: - New Renovation  - Hardwood Floors - New Appliances - DISHWASHER! - Huge Bedrooms - Quiet, Family-Friendly Neighborhood - Tree-Lined Street - Large Space in the Basement  Available NOW  ADDRESS: 1329 Pacific Street, Brooklyn, NY 11216  FINANCIAL: Credit Check (680+) and Proof-of-Income (36x Monthly Rent) Required.  Guarantors Welcome!  CONTACT: Me! Text John at show contact info -- Mention ""1329 Pacific""",5266724868,Crown Heights,800,Huge Bedroom in Duplex Apartment,,https://newyork.craigslist.org/brk/roo/5266724868.html
Atlantic at Suydam,"Text for open house times.  Only 2 at $650 left. Cute Lofted rooms, perfect for a student or an NYC newby! This is for immediate move in! Please have verifiable income and GREAT credit!  Text me! Jason show contact info   Brand New Building!   Gorgeous Newly Renovated 6 bedroom/ 2bath apartment, 3 blocks to the A,C train at Utica. Seriously, this too good to be true!  -NO FEE -1 year lease -2 Full Baths! -Washer/Dryer IN UNIT  -Central Heat/Air  -Video Security Access  -New Stainless Steel Appliances  -Security Cameras all around building  -Pets OKAY!  -2 blocks to the Supermarket/ 3 blocks to A/C Trains at Utica   Ready for October 1st  Must provide verifiable income & credit and/or have guarantor  International Students may have 6 months upfront or an American Guarantor   Contact Jason at show contact info for showings. Please include 'Atlantic' in subject line.",5251361773,Bed Stuy,650,2 more left!,,https://newyork.craigslist.org/brk/roo/5251361773.html
No Address,"SMALL EFICIENCY ROOM ( 1 ROOM ) (1 ROOM) (1 ROOM) ...  ALL UTILITIES INCLUDED ! BATH/SINK/FRIDGE/ ...PRIVATE ENTRANCE  PRIME BAY RIDGE LOCATION ! NEAR ALL .. SMALL BUT COMPLETE,, ABOUT 12' X 15' PLUS BATH.. CALL FOR DETAILS  SECURITY AND PROOF OF EMPLOYMENT REQUIRED  show contact info NO EMAILS ,, PLEASE CALL",5266712968,BAY RIDGE BKLYN,700,SMALL ROOM UTILITIES INCLUDED,,https://newyork.craigslist.org/brk/roo/5266712968.html
